model_id,fom,variables,aic,null_aic,delta_aic,null_deviance,residual_dev,dev_explained,MCFaddenPseudoR2,spatial_auc,training_auc,test_auc,toc_auc,number_of_variables
225,0.496711002561956,"dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1030.26673157822,1008.5542341485,-21.7124974297251,1122.87867934041,1016.26673157822,106.611947762183,0.0949452062130244,0.700318572597339,0.704489059327769,0.728930721354964,0.884341417857725,6
226,0.480490773862338,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_plant87_lingue,predios_lingue1",1030.31949331318,1008.5542341485,-21.7652591646784,1122.87867934041,1014.31949331318,108.55918602723,0.0966793546129125,0.680889803115946,0.714493875784198,0.705336190184675,0.819268407632067,7
227,0.493725676197775,"dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1030.45448575567,1008.5542341485,-21.9002516071678,1122.87867934041,1016.45448575567,106.424193584741,0.0947779983205805,0.699534596616815,0.70284292864938,0.728522599734721,0.885576964334937,6
228,0.479859589723163,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_plant87_lingue,predios_lingue1",1030.54515292591,1008.5542341485,-21.9909187774147,1122.87867934041,1016.54515292591,106.333526414494,0.0946972530255499,0.678858390332566,0.711524743782808,0.707733904703602,0.814474207427958,6
229,0.496612084457131,"dis_comunidades_lingue,dis_urbano_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1030.64931778107,1008.5542341485,-22.0950836325758,1122.87867934041,1018.64931778107,104.229361559333,0.0928233508009595,0.698977202098947,0.702117411794831,0.730308131823283,0.880261186346542,5
230,0.482512337538852,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,predios_lingue1",1030.76450269152,1008.5542341485,-22.2102685430229,1122.87867934041,1016.76450269152,106.114176648885,0.0945019071082713,0.680201125804481,0.710043226172258,0.704928068564432,0.763253312326427,6
231,0.490032899890334,"mat_lingue_87,dis_urbano_lingue,pen_lingue15",1030.77557673907,1008.5542341485,-22.2213425905693,1133.98878739607,1022.77557673907,111.213210657004,0.0980725840441313,0.697319862189205,0.707336756714749,0.7193,0.867135695288622,3
232,0.490640085261112,"dis_urbano_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1031.04745002367,1008.5542341485,-22.4932158751694,1122.87867934041,1019.04745002367,103.831229316739,0.0924687869020103,0.697767243092695,0.700111571079313,0.729211304968881,0.882100490715871,5
233,0.480338687585606,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1031.19710778792,1008.5542341485,-22.6428736394182,1122.87867934041,1015.19710778792,107.68157155249,0.0958977791044565,0.679305645915108,0.71155522768426,0.709570451994694,0.816518669977396,7
234,0.479735259248657,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,predios_lingue1",1031.28359677002,1008.5542341485,-22.7293626215196,1122.87867934041,1015.28359677002,107.595082570389,0.0958207547707572,0.680502881503094,0.710421226550259,0.707096214671972,0.761134736730014,7
